id,type,month,date,year
611,Drafted,6,25,18
612,Drafted,9,12,18
613,Drafted,7,19,18
614,Drafted,8,21,18
615,Drafted,7,31,18
616,Drafted,7,25,18
617,Drafted,7,29,18
618,Drafted,7,29,18
619,Drafted,7,29,18
620,Drafted,7,29,18
621,Drafted,7,29,18
622,Drafted,7,30,18
623,Drafted,7,30,18
624,Drafted,7,31,18
625,Drafted,8,1,18
626,Drafted,8,1,18
627,Drafted,8,1,18
628,Drafted,8,1,18
629,Drafted,7,31,18
630,Drafted,7,31,18
631,Drafted,7,31,18
632,Drafted,8,1,18
633,Drafted,8,1,18
634,Drafted,8,1,18
635,Drafted,8,1,18
636,Drafted,8,1,18
637,Drafted,8,1,18
638,Drafted,8,1,18
639,Drafted,8,1,18
640,Drafted,8,1,18
641,Drafted,8,2,18
642,Drafted,8,7,18
643,Drafted,7,29,18
644,Drafted,7,30,18
645,Drafted,8,1,18
646,Drafted,8,1,18
647,Drafted,8,1,18
648,Drafted,8,1,18
649,Drafted,8,1,18
650,Drafted,8,2,18
651,Drafted,8,2,18
652,Drafted,8,3,18
653,Drafted,8,5,18
654,Drafted,8,2,18
655,Drafted,7,20,18
656,Drafted,7,20,18
657,Drafted,7,28,18
658,Drafted,7,28,18
659,Drafted,7,28,18
660,Drafted,7,29,18
661,Drafted,7,29,18
662,Drafted,7,29,18
663,Drafted,7,30,18
664,Drafted,7,30,18
665,Drafted,7,30,18
666,Drafted,8,2,18
667,Drafted,7,1,18
668,Drafted,8,3,18
669,Drafted,8,1,18
670,Drafted,7,28,18
671,Drafted,7,29,18
672,Drafted,7,29,18
673,Drafted,8,2,18
674,Drafted,7,31,18
675,Drafted,8,2,18
676,Drafted,8,1,18
677,Drafted,8,2,18
678,Drafted,8,1,18
679,Drafted,8,1,18
680,Drafted,8,3,18
681,Drafted,6,29,18
682,Drafted,7,27,18
683,Drafted,7,11,18
684,Drafted,6,30,18
685,Drafted,7,31,18
686,Drafted,6,29,18
687,Drafted,6,29,18
688,Drafted,6,29,18
689,Drafted,7,28,18
690,Drafted,8,21,18
691,Drafted,8,28,18
692,Drafted,8,22,18
693,Drafted,8,22,18
694,Drafted,8,24,18
695,Drafted,7,11,18
696,Drafted,9,1,18
697,Drafted,4,29,18
698,Drafted,8,22,18
699,Drafted,8,23,18
700,Drafted,8,3,18
701,Drafted,6,18,18
702,Drafted,6,4,18
703,Drafted,9,1,18
704,Drafted,9,1,18
705,Drafted,6,21,18
706,Drafted,8,1,18
707,Drafted,8,17,18
708,Drafted,7,27,18
709,Drafted,6,24,18
710,Drafted,7,29,18
711,Drafted,7,28,18
712,Drafted,7,29,18
713,Drafted,7,18,18
714,Drafted,6,30,18
715,Drafted,8,22,18
716,Drafted,7,8,18
717,Drafted,8,23,18
718,Drafted,8,24,18
719,Drafted,8,22,18
720,Drafted,7,27,18
721,Drafted,7,28,18
722,Drafted,7,29,18
723,Drafted,8,3,18
724,Drafted,8,24,18
725,Drafted,8,22,18
726,Drafted,8,22,18
727,Drafted,9,8,18
728,Drafted,9,17,18
729,Drafted,6,25,18
730,Drafted,6,21,18
731,Drafted,8,23,18
732,Drafted,7,15,18
733,Drafted,7,17,18
734,Drafted,7,17,18
735,Drafted,7,19,18
736,Drafted,4,20,18
737,Drafted,7,29,18
738,Drafted,7,31,18
739,Drafted,7,31,18
740,Drafted,7,31,18
741,Drafted,7,29,18
742,Drafted,9,10,18
743,Drafted,7,18,18
744,Drafted,7,29,18
745,Drafted,8,3,18
746,Drafted,8,3,18
747,Drafted,8,3,18
748,Drafted,8,3,18
749,Drafted,8,3,18
750,Drafted,8,3,18
751,Drafted,8,2,18
752,Drafted,7,31,18
753,Drafted,8,1,18
754,Drafted,8,2,18
755,Drafted,9,1,18
756,Drafted,8,23,18
757,Drafted,8,23,18
758,Drafted,8,23,18
759,Drafted,8,24,18
760,Drafted,8,21,18
761,Drafted,8,22,18
762,Drafted,8,22,18
763,Drafted,8,23,18
764,Drafted,8,24,18
765,Drafted,8,1,18
766,Drafted,8,31,18
767,Drafted,8,31,18
768,Drafted,8,1,18
769,Drafted,8,3,18
770,Drafted,8,1,18
771,Drafted,8,2,18
772,Drafted,8,5,18
773,Drafted,8,23,18
774,Drafted,8,28,18
775,Drafted,7,18,18
776,Drafted,3,31,18
777,Drafted,8,1,18
778,Drafted,8,21,18
779,Drafted,7,30,18
780,Drafted,8,3,18
781,Drafted,8,14,18
782,Drafted,7,28,18
783,Drafted,8,22,18
784,Drafted,8,1,18
785,Drafted,8,23,18
786,Drafted,8,30,18
787,Drafted,9,11,18
788,Drafted,9,16,18
789,Drafted,8,5,18
